Titre original,Titre français,URL affiche,Genres,Réalisateur,Photo réal,Acteur/Actrice principal(e),Photo acteur,Année de sortie
The Avengers,Avengers,https://image.tmdb.org/t/p/w500/RYMX2wcKCBAr24UyPD7xwmjaTn.jpg,"Science Fiction, Action, Adventure",Joss Whedon,https://image.tmdb.org/t/p/w185/mVvpZnKYKSCtkOQixQnOonV5kv3.jpg,Robert Downey Jr.,https://image.tmdb.org/t/p/w185/5qHNjhtjMD4YWH3UP0rm4tKwxCL.jpg,2012
Parasite,Parasite,https://image.tmdb.org/t/p/w500/7IiTTgloJzvGI1TAYymCfbfl3vT.jpg,"Comedy, Thriller, Drama",Bong Joon Ho,https://image.tmdb.org/t/p/w185/tKLJBqbdH6HFj2QxLA5o8Zk7IVs.jpg,Song Kang-ho,https://image.tmdb.org/t/p/w185/7dw9wIpFZ5nJZ3zqrue8t7hUUgQ.jpg,2019
Twilight,"Twilight, chapitre 1 : Fascination",https://image.tmdb.org/t/p/w500/3Gkb6jm6962ADUPaCBqzz9CTbn9.jpg,"Fantasy, Drama, Romance",Catherine Hardwicke,https://image.tmdb.org/t/p/w185/AcuShXY2w2soOxgpMjRjir40rq6.jpg,Kristen Stewart,https://image.tmdb.org/t/p/w185/ryhCjTGqS6G6OprbR0qUEH355lA.jpg,2008
Migration,Migration,https://image.tmdb.org/t/p/w500/dpXxBDi0ut5svjh5fbAqLoaJSq8.jpg,"Animation, Adventure, Comedy, Family",Benjamin Renner,https://image.tmdb.org/t/p/w185/yp4ucXRYU5TdMj16glyoYYoxJcw.jpg,Kumail Nanjiani,https://image.tmdb.org/t/p/w185/9EyrK1Cv7ey1h1GgmsVAOn45w6G.jpg,2023
Black Panther: Wakanda Forever,Black Panther : Wakanda Forever,https://image.tmdb.org/t/p/w500/sv1xJUazXeYqALzczSZ3O6nkH75.jpg,"Action, Adventure, Science Fiction",Ryan Coogler,https://image.tmdb.org/t/p/w185/dux4DCDaL6c639DTXGiV7nm1wcN.jpg,Letitia Wright,https://image.tmdb.org/t/p/w185/f7PevpEeBqwzACPhoZ8K3ktrKvE.jpg,2022
A Simple Favor,L'Ombre d'Emily,https://image.tmdb.org/t/p/w500/aIYsjQM0piKc0ibPBCTWv3sqshj.jpg,"Thriller, Crime, Comedy",Paul Feig,https://image.tmdb.org/t/p/w185/mE3eFY3gq1UQ7Rj2He2YbZ7PFya.jpg,Anna Kendrick,https://image.tmdb.org/t/p/w185/yirl6fEmeXY5xcvJw3nTcCNq9Cw.jpg,2018
The Passion of the Christ,La Passion du Christ,https://image.tmdb.org/t/p/w500/v9f9MMrq2nGQrN7cHnQRmEq9lSE.jpg,Drama,Mel Gibson,https://image.tmdb.org/t/p/w185/bLzZZRyAsGJvQqsQ1hdptv93aIL.jpg,Jim Caviezel,https://image.tmdb.org/t/p/w185/3dwavYsGYA6zzzipfdLIHbudIZW.jpg,2004
Tangled,Raiponce,https://image.tmdb.org/t/p/w500/ym7Kst6a4uodryxqbGOxmewF235.jpg,"Animation, Family, Adventure",Nathan Greno,https://image.tmdb.org/t/p/w185/eFE9odW9uzWAGomGFmmusxJT1Ee.jpg,Mandy Moore,https://image.tmdb.org/t/p/w185/1Z5yJ6FUsEtlVZzpyzOpfzvcpcm.jpg,2010
Transformers: Rise of the Beasts,Transformers : Rise of the Beasts,https://image.tmdb.org/t/p/w500/gPbM0MK8CP8A174rmUwGsADNYKD.jpg,"Science Fiction, Adventure, Action",Steven Caple Jr.,https://image.tmdb.org/t/p/w185/aU8p958QyhfV2jurc3L5pn7sN6L.jpg,Anthony Ramos,https://image.tmdb.org/t/p/w185/2Stnm8PQI7xHkVwINb4MhS7LOuR.jpg,2023
The Super Mario Bros. Movie,Super Mario Bros. le film,https://image.tmdb.org/t/p/w500/qNBAXBIQlnOThrVvA6mA2B5ggV6.jpg,"Family, Comedy, Adventure, Animation",Aaron Horvath,https://image.tmdb.org/t/p/w185/6AOmWzdJas3xh0xJOk1mHPstNs2.jpg,Chris Pratt,https://image.tmdb.org/t/p/w185/cRH6HPAQ98PlOwwEvhYO4CM9lwu.jpg,2023
Spider-Man: Across the Spider-Verse,Spider-Man : Across the Spider-Verse,https://image.tmdb.org/t/p/w500/8Vt6mWEReuy4Of61Lnj5Xj704m8.jpg,"Animation, Action, Adventure, Science Fiction",Kemp Powers,https://image.tmdb.org/t/p/w185/oE4TcENMQw25t4UTAjrnl0m4JyH.jpg,Shameik Moore,https://image.tmdb.org/t/p/w185/4aNOTCa6q2HKTgyJj14BqDpVClC.jpg,2023
