Titre original,Titre français,URL affiche,Genres,Réalisateur,Photo réal,Acteur/Actrice principal(e),Photo acteur,Année de sortie
The Accountant,Mr Wolff,https://image.tmdb.org/t/p/w500/fceheXB5fC4WrLVuWJ6OZv9FXYr.jpg,"Crime, Thriller, Drama",Gavin O'Connor,https://image.tmdb.org/t/p/w185/zf3MHvbf2uKC4UbsuFHQYLz48g.jpg,Ben Affleck,https://image.tmdb.org/t/p/w185/aTcqu8cI4wMohU17xTdqmXKTGrw.jpg,2016
My Fault,À contre-sens,https://image.tmdb.org/t/p/w500/w46Vw536HwNnEzOa7J24YH9DPRS.jpg,"Romance, Drama",Domingo González,https://image.tmdb.org/t/p/w185/bTf1OPwNZSIbVHl7SII6Yv429G4.jpg,Nicole Wallace,https://image.tmdb.org/t/p/w185/xlvq6OYCN6yQef4fpJQtwVyQxqr.jpg,2023
Avengers: Infinity War,Avengers : Infinity War,https://image.tmdb.org/t/p/w500/7WsyChQLEftFiDOVTGkv3hFpyyt.jpg,"Adventure, Action, Science Fiction",Joe Russo,https://image.tmdb.org/t/p/w185/o0OXjFzL10jCy89iAs7UzzSbyoK.jpg,Robert Downey Jr.,https://image.tmdb.org/t/p/w185/5qHNjhtjMD4YWH3UP0rm4tKwxCL.jpg,2018
The Room,The Room,https://image.tmdb.org/t/p/w500/oGI3QSsY4XsmUzuNYUQBQDdjuaP.jpg,"Drama, Romance",Tommy Wiseau,https://image.tmdb.org/t/p/w185/mDiPtAoCFOM2NoHI0Jx1Zh2t5rV.jpg,Tommy Wiseau,https://image.tmdb.org/t/p/w185/mDiPtAoCFOM2NoHI0Jx1Zh2t5rV.jpg,2003
A Quiet Place,Sans un bruit,https://image.tmdb.org/t/p/w500/nAU74GmpUk7t5iklEp3bufwDq4n.jpg,"Horror, Drama, Science Fiction",John Krasinski,https://image.tmdb.org/t/p/w185/pmVGDb6Yl6OyFcHVGbu1EYNfyFK.jpg,Emily Blunt,https://image.tmdb.org/t/p/w185/5nCSG5TL1bP1geD8aaBfaLnLLCD.jpg,2018
Titanic,Titanic,https://image.tmdb.org/t/p/w500/9xjZS2rlVxm8SFx8kPC3aIGCOYQ.jpg,"Drama, Romance",James Cameron,https://image.tmdb.org/t/p/w185/9NAZnTjBQ9WcXAQEzZpKy4vdQto.jpg,Leonardo DiCaprio,https://image.tmdb.org/t/p/w185/ts9l18VkDSooRGDWIeQegNVHciC.jpg,1997
Sound of Freedom,Le son de la liberté,https://image.tmdb.org/t/p/w500/kSf9svfL2WrKeuK8W08xeR5lTn8.jpg,"Action, Drama",Alejandro Monteverde,https://image.tmdb.org/t/p/w185/v1LQRHONmo6OyAl8OWcJQaTNHGg.jpg,Jim Caviezel,https://image.tmdb.org/t/p/w185/3dwavYsGYA6zzzipfdLIHbudIZW.jpg,2023
Spider-Man: Homecoming,Spider-Man : Homecoming,https://image.tmdb.org/t/p/w500/c24sv2weTHPsmDa7jEMN0m2P3RT.jpg,"Action, Adventure, Science Fiction, Drama",Jon Watts,https://image.tmdb.org/t/p/w185/fkXChMX6CUXY1yOxBehAzvaTCl7.jpg,Tom Holland,https://image.tmdb.org/t/p/w185/bBRlrpJm9XkNSg0YT5LCaxqoFMX.jpg,2017
The Lion King,Le Roi Lion,https://image.tmdb.org/t/p/w500/dzBtMocZuJbjLOXvrl4zGYigDzh.jpg,"Adventure, Drama, Family, Animation",Jon Favreau,https://image.tmdb.org/t/p/w185/tnx7iMVydPQXGOoLsxXl84PXtbA.jpg,Chiwetel Ejiofor,https://image.tmdb.org/t/p/w185/kq5DDnqqofoRI0t6ddtRlsJnNPT.jpg,2019
The Blair Witch Project,Le Projet Blair Witch,https://image.tmdb.org/t/p/w500/9050VGrYjYrEjpOvDZVAngLbg1f.jpg,"Horror, Mystery",Daniel Myrick,https://image.tmdb.org/t/p/w185/xD4LswCRryKDBKToVDWs1WTmNGj.jpg,Rei Hance,https://image.tmdb.org/t/p/w185/Ootqoaw1eJF9cJ38FfAgblgJjh.jpg,1999
Beauty and the Beast,La Belle et la Bête,https://image.tmdb.org/t/p/w500/hKegSKIDep2ewJWPUQD7u0KqFIp.jpg,"Family, Fantasy, Romance",Bill Condon,https://image.tmdb.org/t/p/w185/dk7EK0mbUxgoDr7ki9kgYHu4cZs.jpg,Emma Watson,https://image.tmdb.org/t/p/w185/A14lLCZYDhfYdBa0fFRpwMDiwRN.jpg,2017
xXx,xXx,https://image.tmdb.org/t/p/w500/xeEw3eLeSFmJgXZzmF2Efww0q3s.jpg,"Action, Adventure, Thriller, Crime",Rob Cohen,https://image.tmdb.org/t/p/w185/kVbB8Q0g8eXsn8l81flyC6TgMPW.jpg,Vin Diesel,https://image.tmdb.org/t/p/w185/nZdVry7lnUkE24PnXakok9okvL4.jpg,2002
The Shawshank Redemption,Les Évadés,https://image.tmdb.org/t/p/w500/9cqNxx0GxF0bflZmeSMuL5tnGzr.jpg,"Drama, Crime",Frank Darabont,https://image.tmdb.org/t/p/w185/vZ50guP86otYTiBSGfi35GNHWVf.jpg,Morgan Freeman,https://image.tmdb.org/t/p/w185/jPsLqiYGSofU4s6BjrxnefMfabb.jpg,1994
